context_id,context_type,total_records,total_count,photo_count,summary_by_sheet
STP11,STP,4,6,0,"{""Glass"": 2, ""Organic"": 2, ""Stone"": 1, ""Other"": 1}"
STP12,STP,2,8,0,"{""Glass"": 8}"
STP13,STP,31,177,0,"{""Glass"": 53, ""Metal"": 64, ""Organic"": 11, ""Stone"": 7, ""Other"": 42}"
STP14,STP,17,61,0,"{""Glass"": 36, ""Metal"": 23, ""Organic"": 1, ""Other"": 1}"
STP15,STP,5,11,0,"{""Glass"": 6, ""Metal"": 4, ""Stone"": 1}"
STP16,STP,11,22,0,"{""Glass"": 14, ""Metal"": 2, ""Organic"": 1, ""Stone"": 5}"
STP17,STP,2,5,0,"{""Glass"": 1, ""Other"": 4}"
STP3,STP,4,20,0,"{""Bricks"": 9, ""Glass"": 1, ""Organic"": 4, ""Stone"": 6}"
STP4,STP,2,9,0,"{""Glass"": 3, ""Organic"": 6}"
STP5,STP,4,9,0,"{""Metal"": 4, ""Organic"": 2, ""Stone"": 3}"
STP7,STP,6,24,0,"{""Glass"": 1, ""Metal"": 13, ""Stone"": 9, ""Other"": 1}"
STP8,STP,5,14,0,"{""Organic"": 1, ""Stone"": 3, ""Other"": 10}"
TU1-L1,TU,23,135,0,"{""Bricks"": 21, ""Glass"": 2, ""Metal"": 81, ""Organic"": 23, ""Stone"": 3, ""Other"": 5}"
TU1-L2,TU,44,534,0,"{""Bricks"": 5, ""Glass"": 37, ""Metal"": 325, ""Organic"": 137, ""Stone"": 19, ""Other"": 11}"
TU1-L3,TU,8,65,0,"{""Glass"": 12, ""Metal"": 35, ""Organic"": 17, ""Stone"": 1}"
TU10-L1,TU,8,30,0,"{""Bricks"": 1, ""Faunal"": 3, ""Metal"": 5, ""Organic"": 7, ""Stone"": 1, ""Other"": 13}"
TU10-L2,TU,7,27,0,"{""Faunal"": 3, ""Glass"": 1, ""Metal"": 19, ""Organic"": 1, ""Other"": 3}"
TU12-L1,TU,11,35,0,"{""Glass"": 14, ""Metal"": 16, ""Organic"": 1, ""Other"": 4}"
TU13-L1,TU,14,141,0,"{""Faunal"": 3, ""Glass"": 11, ""Metal"": 14, ""Organic"": 6, ""Stone"": 3, ""Other"": 104}"
TU2-L1,TU,10,79,0,"{""Faunal"": 5, ""Glass"": 2, ""Metal"": 31, ""Organic"": 13, ""Stone"": 3, ""Other"": 25}"
TU3-L1,TU,8,47,0,"{""Faunal"": 4, ""Metal"": 4, ""Organic"": 5, ""Stone"": 4, ""Other"": 30}"
TU3-L2,TU,3,9,0,"{""Faunal"": 1, ""Metal"": 8}"
TU4-L1,TU,20,335,0,"{""Bricks"": 43, ""Faunal"": 1, ""Glass"": 3, ""Metal"": 134, ""Organic"": 24, ""Stone"": 55, ""Other"": 75}"
TU4-L2,TU,6,45,0,"{""Glass"": 3, ""Metal"": 18, ""Organic"": 1, ""Stone"": 3, ""Other"": 20}"
TU5-L1,TU,8,76,0,"{""Bricks"": 1, ""Faunal"": 2, ""Metal"": 7, ""Organic"": 6, ""Stone"": 1, ""Other"": 59}"
TU5-L2,TU,6,445,0,"{""Glass"": 1, ""Metal"": 18, ""Organic"": 14, ""Other"": 412}"
TU6-L1,TU,11,104,0,"{""Bricks"": 4, ""Faunal"": 1, ""Glass"": 1, ""Metal"": 17, ""Organic"": 4, ""Stone"": 59, ""Other"": 18}"
TU6-L2,TU,3,11,0,"{""Metal"": 2, ""Other"": 9}"
TU7-L1,TU,8,21,0,"{""Bricks"": 1, ""Metal"": 7, ""Organic"": 5, ""Stone"": 4, ""Other"": 4}"
TU7-L2,TU,15,160,0,"{""Faunal"": 2, ""Metal"": 4, ""Organic"": 7, ""Stone"": 1, ""Other"": 146}"
TU8-L1,TU,10,55,0,"{""Bricks"": 22, ""Glass"": 2, ""Metal"": 8, ""Organic"": 3, ""Stone"": 3, ""Other"": 17}"
TU9-L1,TU,11,31,0,"{""Bricks"": 1, ""Glass"": 1, ""Metal"": 5, ""Organic"": 1, ""Stone"": 1, ""Other"": 22}"
TU9-L2,TU,9,49,0,"{""Faunal"": 6, ""Metal"": 9, ""Organic"": 5, ""Other"": 29}"
SFC11R11,surface,1,1,0,"{""Metal"": 1}"
SFC11R4,surface,1,1,0,"{""Metal"": 1}"
SFC11R5,surface,1,1,0,"{""Metal"": 1}"
SFC11R6,surface,3,3,0,"{""Glass"": 1, ""Metal"": 2}"
SFC11R7,surface,3,47,0,"{""Metal"": 47}"
SFC11R8,surface,1,1,0,"{""Glass"": 1}"
SFC1R1,surface,1,1,0,"{""Metal"": 1}"
SFC1R2,surface,1,1,0,"{""Glass"": 1}"
SFC1R4,surface,1,1,0,"{""Glass"": 1}"
SFC1R5,surface,1,1,0,"{""Glass"": 1}"
SFC2R1,surface,2,2,0,"{""Metal"": 1, ""Organic"": 1}"
SFC2R2,surface,1,1,0,"{""Metal"": 1}"
SFC2R3,surface,3,21,0,"{""Glass"": 2, ""Metal"": 19}"
SFC2R4,surface,3,3,0,"{""Glass"": 3}"
SFC2R5,surface,7,7,0,"{""Glass"": 4, ""Metal"": 2, ""Other"": 1}"
SFC2R6,surface,6,46,0,"{""Glass"": 5, ""Metal"": 41}"
SFC2R7,surface,5,5,0,"{""Glass"": 4, ""Metal"": 1}"
SFC2R8,surface,4,4,0,"{""Glass"": 2, ""Metal"": 2}"
SFC3R1,surface,2,3,0,"{""Metal"": 2, ""Other"": 1}"
SFC3R2,surface,3,9,0,"{""Metal"": 9}"
SFC3R4,surface,1,1,0,"{""Metal"": 1}"
SFC3R5,surface,2,2,0,"{""Glass"": 2}"
SFC3R6,surface,2,2,0,"{""Metal"": 2}"
SFC3R7,surface,2,2,0,"{""Glass"": 2}"
SFC3R8,surface,6,6,0,"{""Glass"": 4, ""Metal"": 2}"
SFC3R9,surface,2,3,0,"{""Faunal"": 1, ""Glass"": 2}"
SFC4.5,surface,17,20,0,"{""Glass"": 17, ""Metal"": 1, ""Organic"": 1, ""Other"": 1}"
SFC4R2,surface,1,1,0,"{""Metal"": 1}"
SFC4R3,surface,1,1,0,"{""Glass"": 1}"
SFC4R4,surface,3,3,0,"{""Glass"": 2, ""Metal"": 1}"
SFC5R1,surface,1,1,0,"{""Metal"": 1}"
SFC5R2,surface,3,3,0,"{""Metal"": 3}"
SFC5R4,surface,1,1,0,"{""Metal"": 1}"
SFC5R6,surface,1,1,0,"{""Metal"": 1}"
SFC6R1,surface,1,1,0,"{""Metal"": 1}"
SFC6R2,surface,1,1,0,"{""Glass"": 1}"
SFC6R3,surface,3,3,0,"{""Metal"": 2, ""Organic"": 1}"
SFC6R5,surface,6,6,0,"{""Glass"": 5, ""Metal"": 1}"
SFC7R1,surface,2,2,0,"{""Glass"": 2}"
SFC7R2,surface,3,4,0,"{""Glass"": 4}"
SFC7R3,surface,2,2,0,"{""Glass"": 2}"
SFC7R5,surface,2,2,0,"{""Metal"": 2}"
SFC8R5,surface,1,1,0,"{""Metal"": 1}"
SFC9R3,surface,1,1,0,"{""Metal"": 1}"
SFC9R5,surface,9,15,0,"{""Glass"": 4, ""Metal"": 11}"
surface_unparsed,surface_unparsed,296,771,0,"{""Bricks"": 4, ""Faunal"": 8, ""Glass"": 333, ""Metal"": 334, ""Organic"": 35, ""Stone"": 21, ""Other"": 36}"
