context_id,total_records,artifact_photo_count,context_photo_count,photo_ids
SFC11R11,1,0,0,
SFC11R4,1,0,2,EPAS2021 412; EPAS2021 413
SFC11R5,1,0,0,
SFC11R6,3,0,2,EPAS2021 410; EPAS2021 411
SFC11R7,3,0,0,
SFC11R8,1,0,0,
SFC1R1,1,0,16,EPAS2021 9; EPAS2021 10; EPAS2021 11; EPAS2021 12; EPAS2021 13; EPAS2021 36; EPAS2021 37; EPAS2021 38; EPAS2021 39; EPAS2021 115; EPAS2021 116; EPAS2021 117; EPAS2021 162; EPAS2021 163; EPAS2021 564; EPAS2021 565
SFC1R2,1,0,79,EPAS2021 14; EPAS2021 15; EPAS2021 19; EPAS2021 20; EPAS2021 21; EPAS2021 22; EPAS2021 23; EPAS2021 24; EPAS2021 25; EPAS2021 26; EPAS2021 27; EPAS2021 28; EPAS2021 29; EPAS2021 30; EPAS2021 31; EPAS2021 32; EPAS2021 33; EPAS2021 34; EPAS2021 35; EPAS2021 40
SFC1R4,1,0,4,EPAS2021 155; EPAS2021 156; EPAS2021 687; EPAS2021 688
SFC1R5,1,0,2,EPAS2021 679; EPAS2021 680
SFC2R1,2,0,43,EPAS2021 63; EPAS2021 64; EPAS2021 65; EPAS2021 74; EPAS2021 75; EPAS2021 76; EPAS2021 169; EPAS2021 170; EPAS2021 171; EPAS2021 530; EPAS2021 531; EPAS2021 532; EPAS2021 533; EPAS2021 534; EPAS2021 535; EPAS2021 536; EPAS2021 537; EPAS2021 538; EPAS2021 539; EPAS2021 540
SFC2R2,1,0,3,EPAS2021 134; EPAS2021 472; EPAS2021 473
SFC2R3,3,0,46,EPAS2021 132; EPAS2021 135; EPAS2021 136; EPAS2021 137; EPAS2021 138; EPAS2021 140; EPAS2021 141; EPAS2021 142; EPAS2021 143; EPAS2021 167; EPAS2021 168; EPAS2021 293; EPAS2021 398; EPAS2021 399; EPAS2021 400; EPAS2021 401; EPAS2021 424; EPAS2021 425; EPAS2021 426; EPAS2021 427
SFC2R4,3,0,6,EPAS2021 1107; EPAS2021 1108; EPAS2021 1109; EPAS2021 1110; EPAS2021 1111; EPAS2021 1112
SFC2R5,7,0,56,EPAS2021 139; EPAS2021 297; EPAS2021 586; EPAS2021 587; EPAS2021 588; EPAS2021 589; EPAS2021 590; EPAS2021 591; EPAS2021 592; EPAS2021 593; EPAS2021 594; EPAS2021 595; EPAS2021 596; EPAS2021 597; EPAS2021 598; EPAS2021 599; EPAS2021 600; EPAS2021 601; EPAS2021 602; EPAS2021 603
SFC2R6,6,0,6,EPAS2021 639; EPAS2021 640; EPAS2021 641; EPAS2021 642; EPAS2021 643; EPAS2021 644
SFC2R7,5,0,9,EPAS2021 298; EPAS2021 326; EPAS2021 327; EPAS2021 743; EPAS2021 744; EPAS2021 745; EPAS2021 746; EPAS2021 747; EPAS2021 748
SFC2R8,4,0,8,EPAS2021 661; EPAS2021 662; EPAS2021 663; EPAS2021 664; EPAS2021 853; EPAS2021 854; EPAS2021 855; EPAS2021 856
SFC3R1,2,0,6,EPAS2021 59; EPAS2021 60; EPAS2021 61; EPAS2021 62; EPAS2021 360; EPAS2021 361
SFC3R2,3,0,4,EPAS2021 286; EPAS2021 343; EPAS2021 344; EPAS2021 345
SFC3R4,1,0,19,EPAS2021 151; EPAS2021 152; EPAS2021 153; EPAS2021 154; EPAS2021 158; EPAS2021 159; EPAS2021 160; EPAS2021 161; EPAS2021 346; EPAS2021 347; EPAS2021 673; EPAS2021 674; EPAS2021 880; EPAS2021 881; EPAS2021 901; EPAS2021 902; EPAS2021 903; EPAS2021 904; EPAS2021 905
SFC3R5,2,0,3,EPAS2021 330; EPAS2021 985; EPAS2021 986
SFC3R6,2,0,4,EPAS2021 157; EPAS2021 348; EPAS2021 651; EPAS2021 652
SFC3R7,2,0,3,EPAS2021 331; EPAS2021 332; EPAS2021 333
SFC3R8,6,0,8,EPAS2021 341; EPAS2021 342; EPAS2021 793; EPAS2021 794; EPAS2021 795; EPAS2021 796; EPAS2021 797; EPAS2021 798
SFC3R9,2,0,5,EPAS2021 334; EPAS2021 667; EPAS2021 668; EPAS2021 669; EPAS2021 670
SFC4R2,1,0,2,EPAS2021 57; EPAS2021 58
SFC4R3,1,0,2,EPAS2021 84; EPAS2021 85
SFC4R4,3,0,13,EPAS2021 86; EPAS2021 89; EPAS2021 90; EPAS2021 91; EPAS2021 335; EPAS2021 336; EPAS2021 337; EPAS2021 895; EPAS2021 896; EPAS2021 897; EPAS2021 898; EPAS2021 899; EPAS2021 900
SFC5R1,1,0,33,EPAS2021 66; EPAS2021 67; EPAS2021 68; EPAS2021 164; EPAS2021 165; EPAS2021 502; EPAS2021 503; EPAS2021 504; EPAS2021 505; EPAS2021 506; EPAS2021 507; EPAS2021 508; EPAS2021 509; EPAS2021 510; EPAS2021 511; EPAS2021 512; EPAS2021 513; EPAS2021 514; EPAS2021 515; EPAS2021 516
SFC5R2,3,0,5,EPAS2021 102; EPAS2021 103; EPAS2021 104; EPAS2021 105; EPAS2021 106
SFC5R4,1,0,0,
SFC5R6,1,0,0,
SFC6R1,1,0,1,EPAS2021 118
SFC6R2,1,0,0,
SFC6R3,3,0,0,
SFC6R5,6,0,19,EPAS2021 119; EPAS2021 120; EPAS2021 121; EPAS2021 122; EPAS2021 123; EPAS2021 124; EPAS2021 125; EPAS2021 126; EPAS2021 127; EPAS2021 128; EPAS2021 129; EPAS2021 130; EPAS2021 131; EPAS2021 404; EPAS2021 405; EPAS2021 406; EPAS2021 407; EPAS2021 408; EPAS2021 409
SFC7R1,2,0,1,EPAS2021 294
SFC7R2,3,0,14,EPAS2021 111; EPAS2021 112; EPAS2021 464; EPAS2021 465; EPAS2021 466; EPAS2021 467; EPAS2021 468; EPAS2021 469; EPAS2021 470; EPAS2021 471; EPAS2021 675; EPAS2021 676; EPAS2021 677; EPAS2021 678
SFC7R3,2,0,12,EPAS2021 107; EPAS2021 108; EPAS2021 109; EPAS2021 110; EPAS2021 113; EPAS2021 114; EPAS2021 402; EPAS2021 403; EPAS2021 414; EPAS2021 415; EPAS2021 416; EPAS2021 417
SFC7R5,2,0,0,
SFC8R5,1,0,0,
SFC9R3,1,0,2,EPAS2021 149; EPAS2021 150
SFC9R5,9,0,11,EPAS2021 144; EPAS2021 145; EPAS2021 146; EPAS2021 147; EPAS2021 148; EPAS2021 420; EPAS2021 421; EPAS2021 422; EPAS2021 423; EPAS2021 430; EPAS2021 431
